,2420,,,2420,,,,,,372445,,15136,,15136,,,Dani Silva,,,15136,,,https://transfermarkt.pt/dani-silva/rueckennummern/spieler/372445,,
,2420,273,8154,2420,273,,,,,324803,,2420,,273,,,Nicolas Janvier,,,15136,,,https://transfermarkt.pt/nicolas-janvier/rueckennummern/spieler/324803,,
4297,8023,720,720,2420,720,,4297,2420,,63837,,2420,,2420,2420,4297,André André,,4297,2420,,,https://transfermarkt.pt/andre-andre/rueckennummern/spieler/63837,2420,
,68188,,,2420,,,,,,877140,,,,,,,Gonçalo Nogueira,,,,,,https://transfermarkt.pt/goncalo-nogueira/rueckennummern/spieler/877140,,
,2420,68608,3349,2420,3349,,,68608,,236997,,683,,3349,68608,,Tiago Silva,,,703,,,https://transfermarkt.pt/tiago-silva/rueckennummern/spieler/236997,68608,
,3268,,,2420,,,,,,663244,,3268,,,,,Jota Silva,,,3265,,,https://transfermarkt.pt/jota-silva/rueckennummern/spieler/663244,,
,371,41583,371,2420,371,,,,,297257,,371,,371,,,Mikey Johnston,,,371,,,https://transfermarkt.pt/mikey-johnston/rueckennummern/spieler/297257,,
,2420,,14503,2420,,,,,,514304,,15136,,,,,Nélson Luz,,,14503,,,https://transfermarkt.pt/nelson-luz/rueckennummern/spieler/514304,,
,2420,990,2262,2420,990,,,9254,,264848,,2420,,2262,9254,,Rúben Lameiras,,,3329,,,https://transfermarkt.pt/ruben-lameiras/rueckennummern/spieler/264848,6139,
,8024,,2425,2420,,,,,,565232,,8024,,68110,,,André Silva,,,8024,,,https://transfermarkt.pt/andre-silva/rueckennummern/spieler/565232,,
,3329,,3329,2420,,,,,,522714,,3176,,3329,,,Anderson Silva,,,3329,,,https://transfermarkt.pt/anderson-silva/rueckennummern/spieler/522714,,
,2457,,1693,2420,1693,,,,,443338,,1693,,18545,,,Alisson Safira,,,11449,,,https://transfermarkt.pt/alisson-safira/rueckennummern/spieler/443338,,
,3329,,,3329,,,,,,712107,,3329,,,,,Luiz Júnior,,,,,,https://transfermarkt.pt/luiz-junior/rueckennummern/spieler/712107,,
,3329,10330,10330,3329,10330,,,,,282654,,3329,,294,11755,,Ivan Zlobin,,,10330,,,https://transfermarkt.pt/ivan-zlobin/rueckennummern/spieler/282654,11755,
,,,,75337,,,,,,1031409,,,,,,,Zé Henrique,,,,,,https://transfermarkt.pt/ze-henrique/rueckennummern/spieler/1031409,,
,3329,,,3329,,,,,,479643,,75337,,41582,,,Penetra,,,41582,,,https://transfermarkt.pt/penetra/rueckennummern/spieler/479643,,
,3329,,,3329,,,,,,646677,,3329,,,,,Riccieli,,,3329,,,https://transfermarkt.pt/riccieli/rueckennummern/spieler/646677,,
,1091,,6418,3329,6418,,,,,448920,,1091,,6418,,,Enea Mihaj,,,1091,,,https://transfermarkt.pt/enea-mihaj/rueckennummern/spieler/448920,,
,3319,,,3329,,,,,,818495,,614,,,,,Otávio,,,614,,,https://transfermarkt.pt/otavio/rueckennummern/spieler/818495,,
,366,41588,41588,75337,41588,,,,,357148,,3329,,41588,,,Diogo Queirós,,,29228,,,https://transfermarkt.pt/diogo-queiros/rueckennummern/spieler/357148,,
